station ID,lat,lon,area km2
US1NYHR0004,43.0165880000,-75.0552790000,38.501
US1NYOD0005,43.3245600000,-75.3787350000,218.829
US1NYHR0006,43.1051360000,-74.9731890000,108.880
US1NYOD0009,43.2166670000,-75.2833330000,20.397
USC00303965,42.9000000000,-73.3500000000,29.636
USC00300452,43.1013900000,-73.4319400000,155.324
USC00308393,43.9666670000,-74.0333330000,348.484
USW00014750,43.3384900000,-73.6102400000,64.872
USW00014749,42.9666700000,-74.6666700000,50.693
US1MABE0018,42.7005400000,-73.1693900000,61.916
USC00309250,43.0333300000,-73.9333300000,64.988
USC00303941,43.1000000000,-74.0166670000,82.644
US1NYOD0014,43.1658333330,-75.2450833300,47.321
US1NYOD0019,43.0618200000,-75.2898640000,24.361
US1NYOD0016,43.2551800000,-75.1641166000,73.337
US1NYOD0017,43.0614000000,-75.2913500000,7.420
USC00303916,43.3833300000,-74.7333300000,91.195
US1NYAB0016,42.7590300000,-73.7370200000,21.144
USW00014774,43.1666700000,-75.3166700000,50.921
US1NYOD0043,43.2470657680,-75.2775424720,67.563
US1NYOD0042,43.1001694000,-75.3293528000,60.061
US1NYAB0022,42.7038310000,-73.8118460000,3.685
USC00307291,42.9239000000,-73.7858000000,17.582
US1NYAB0006,42.7197620000,-73.9303710000,1.935
USC00300652,42.7166700000,-73.3166700000,159.440
USC00308138,43.1333300000,-74.6666700000,153.926
US1NYWR0003,43.3104590000,-73.7259070000,57.596
US1NYWR0004,43.2895590000,-73.7190440000,22.395
US1NYAB0037,42.7686440000,-73.6911170000,12.968
USC00301713,43.3166700000,-73.9166700000,108.486
USC00308597,42.7333330000,-73.7000000000,6.133
US1NYOD0060,42.9955050000,-75.2885190000,195.031
US1NYOD0066,43.0679800000,-75.3095100000,55.199
US1NYOD0063,43.1120900000,-75.1801900000,38.776
US1NYOD0067,43.2329400000,-75.2536900000,38.587
US1NYWR0010,43.5178451540,-73.8106918330,219.381
US1NYAB0028,42.7242770000,-73.7570130000,5.013
US1NYWR0021,43.6822360000,-73.7183860000,181.751
USC00303319,43.0491700000,-74.3591700000,58.122
USC00438150,43.1166700000,-73.1166700000,86.418
USC00300048,42.6925000000,-73.8308000000,2.293
USC00302462,42.9833330000,-73.5500000000,112.111
USC00302236,42.9333000000,-73.3667000000,80.143
USC00303324,43.1000000000,-74.4333300000,78.467
USC00301144,42.9166700000,-74.5833300000,93.714
USC00303322,43.1150000000,-74.4236000000,148.448
USC00301593,42.6833300000,-74.4833300000,1286.744
USC00302683,42.7666700000,-74.2500000000,250.646
USC00305711,43.9666700000,-74.2166700000,195.519
USC00305714,43.9707000000,-74.2220000000,198.307
USC00438160,43.0908000000,-73.1244000000,75.702
USC00302666,43.0166700000,-74.5333300000,114.178
USC00300242,43.2500000000,-74.5166700000,278.145
US1NYSH0005,42.7350650000,-74.4527770000,228.789
US1NYFL0009,43.2302777800,-74.1722222200,92.834
US1NYFL0008,43.0500458000,-74.3288013000,99.403
US1NYFL0007,43.0394010000,-74.1084520000,82.854
USC00302888,42.9666700000,-74.4166700000,130.615
USC00303970,43.3116700000,-74.2477800000,365.226
USC00305925,43.6611000000,-73.8969000000,222.386
USC00305580,43.2000000000,-73.7500000000,41.311
USC00307514,42.8000000000,-73.9166700000,13.896
USC00307532,44.0166700000,-73.7000000000,425.949
USC00307524,43.8333300000,-73.7666700000,248.116
USC00434882,43.1666700000,-73.0666700000,36.079
USC00199731,42.7166670000,-73.2000000000,58.826
USC00199730,42.7155600000,-73.1922200000,20.584
USC00307505,42.9000000000,-73.6000000000,64.044
USC00302031,42.7672000000,-74.1711000000,55.301
USC00303360,42.7833300000,-73.4666700000,80.118
USC00306623,43.4614000000,-74.5231000000,303.480
USC00431786,43.2241700000,-73.0750000000,97.813
USC00303125,43.2000000000,-73.6500000000,87.736
USC00305769,43.2000000000,-74.9166700000,290.297
